region,postcode,place,county,Gravemaskin - belter,Lastebiler,Hjullastere,Traktorer,Maskinhengere,Gravemaskin - hjul,Minimaskiner < 5tonn,Dumpere,Borevogner,Knuseverk,Trekkvogner,Kompressorer,Containerbiler,Bulldosere,Veghøvler,Andre,Maskiner Totalt,Registrering år,Næring,Antall ansatte,Omsetning EUR,Name
Region Sørøst,3790,Helle,Telemark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,"=""14.05.2008",Oppsamling og behandling av avløpsvann (37000),3,516546,Company 542
Seksjon Ressurs og miljø,2010,Strømmen,Akershus,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,9,,,,,Company 543
Region Sørvest,4374,Egersund,Rogaland,33,7,6,2,3,4,2,14,9,2,3,4,0,0,2,0,91,"=""19.02.1995",Grunnarbeid (43120),218,89486671,Company 544
Region Sørøst,3035,Drammen,Buskerud,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,7,,,,,Company 545
Region Sørvest,4356,Kvernaland,Rogaland,2,2,3,0,0,0,0,1,0,3,2,0,0,0,0,2,15,,,,,Company 546
Seksjon Ressurs og miljø,5913,Eikangervåg,Hordaland,0,5,0,0,1,0,1,0,0,0,0,8,0,0,0,9,24,"=""19.02.1995",Bygging av vann- og kloakkanlegg (42210),25,5179603,Company 547
Region Sørøst,3410,Sylling,Buskerud,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,"=""17.01.2012",Grunnarbeid (43120),3,976252,Company 548
Region Øst,2150,Årnes,Akershus,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,"=""22.12.2005",Beplantning av hager og parkanlegg (81300),5,2184414,Company 549
Region Sørøst,3060,Svelvik,Vestfold,2,1,0,3,1,1,1,0,0,0,0,0,0,0,0,4,13,"=""12.06.2007",Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted (77390),3,373711,Company 550
Region Øst,1471,Lørenskog,Akershus,15,4,40,0,0,0,0,10,1,35,0,0,0,0,5,0,110,,,,,Company 551
Region Nord,9335,Øverbygd,Troms,1,3,4,0,0,1,0,0,0,3,0,0,0,0,1,1,14,"=""23.05.2013",Godstransport på vei (49410),19,1403059,Company 552
Region Øst,1550,Hølen,Akershus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,"=""26.02.2003",Grunnarbeid (43120),4,245054,Company 553
Region Øst,2040,Kløfta,Akershus,4,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,9,"=""20.02.1995",Bygging av vann- og kloakkanlegg (42210),9,1139855,Company 554
Region Midt,6165,Sæbø,Møre og Romsdal,7,1,1,1,1,0,0,2,1,0,0,0,0,0,0,1,15,"=""04.07.2006",Grunnarbeid (43120),3,250543,Company 555
Region Midt,7083,Leinstrand,Sør-Trøndelag,5,0,1,4,0,1,1,0,0,0,0,0,0,0,0,17,29,"=""29.09.2004",Grunnarbeid (43120),20,7905253,Company 556
Region Sørvest,4879,Grimstad,Aust-Agder,6,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,15,"=""01.06.2006",Produksjon av ferdigblandet betong (23630),15,9342207,Company 557
Region Sørvest,4517,Mandal,Vest-Agder,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,"=""11.09.2012",Grunnarbeid (43120),7,708635,Company 558
Seksjon Ressurs og miljø,7358,Børsa,Sør-Trøndelag,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,"=""28.06.1995",Bygging av vann- og kloakkanlegg (42210),18,3168363,Company 559
Region Vest,5863,Bergen,Hordaland,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,"=""13.02.2010",Annen spesialisert bygge- og anleggsvirksomhet (43990),8,349787,Company 560
Region Vest,6843,Skei i Jølster,Sogn og Fjordane,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,13,"=""19.05.2000",Bryting av skifer (08113),13,1875362,Company 561
Region Midt,6050,Valderøya,Møre og Romsdal,4,2,1,0,1,0,1,0,1,0,1,0,0,0,1,3,15,"=""19.02.1995",Grunnarbeid (43120),4,708727,Company 562
Region Sørøst,3902,Porsgrunn,Telemark,1,32,19,0,1,1,2,3,0,2,30,0,1,0,0,0,92,"=""18.10.1997",Transportformidling ellers (52299),160,22460316,Company 563
Region Sørvest,4596,Eiken,Vest-Agder,10,2,3,1,1,0,0,3,1,0,1,2,0,0,0,2,26,"=""19.02.1995",Grunnarbeid (43120),22,4017742,Company 564
Region Vest,5243,Fana,Hordaland,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,6,"=""05.08.2003",Grunnarbeid (43120),5,454854,Company 565
Region Sørvest,4879,Grimstad,Aust-Agder,3,3,2,0,2,0,0,1,0,3,1,0,0,0,0,0,15,"=""20.02.1995","Utvinning fra grus- og sandtak, og utvinning av leire og kaolin (08120)",5,502916,Company 566
Region Sørøst,3408,Tranby,Buskerud,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"=""19.02.1995",Bygging av andre anlegg ikke nevnt annet sted (42990),1,521197,Company 567
Region Midt,7340,Oppdal,Sør-Trøndelag,4,0,3,0,0,1,0,2,0,0,0,0,0,0,0,2,12,"=""20.02.1995",Bryting av skifer (08113),42,4595564,Company 568
